Si radial distance [nm], count [collisions/A^2]
42.64,0
42.74,1
42.84,2
42.94,3
43.04,7
43.14,6
43.24,3
43.34,6
43.44,2
43.54,3
43.64,4
43.74,1
43.84,3
43.94,2
44.04,2
44.14,3
44.24,3
44.34,3
44.44,4
44.54,5
44.64,2
44.74,4
44.84,1
44.94,0
45.05,1
45.15,5
45.25,7
45.35,3
45.45,7
45.55,7
45.65,4
45.75,7
45.85,1
45.95,5
46.05,4
46.15,5
46.25,4
46.35,4
46.45,6
46.55,5
46.65,2
46.75,5
46.85,3
46.95,4
47.05,2
47.15,4
47.25,0
47.35,1
47.45,1
47.55,5
47.65,3
47.75,0
47.85,1
47.95,4
48.05,1
48.15,4
48.25,1
48.35,3
48.45,2
48.55,3
48.65,1
48.75,3
48.85,2
48.95,2
49.05,0
49.15,1
49.25,6
49.35,3
49.45,1
49.55,1
49.65,6
49.75,1
49.85,8
49.95,4
50.05,1
50.15,0
50.25,2
50.35,0
50.45,0
50.55,0
50.65,0
50.75,0
50.85,0
50.95,0
51.05,0
51.15,0
51.25,0
51.35,0
51.45,0
51.55,0
51.65,0
51.75,0
51.85,0
51.95,0
52.05,0
52.15,0
52.25,0
52.35,0
52.45,0
52.55,0
52.65,0
52.75,0
52.85,0
52.95,0
53.05,0
53.15,0
53.25,0
53.35,0
53.45,0
53.55,0
53.65,0
53.75,0
53.85,0
53.95,0
54.05,0
54.15,0
54.25,0
54.35,0
54.45,0
54.55,0
54.65,0
54.75,0
54.85,0
54.95,0
55.06,0
55.16,0
55.26,0
55.36,0
55.46,0
55.56,0
55.66,0
55.76,0
55.86,0
55.96,0
56.06,0
56.16,0
56.26,0
56.36,0
56.46,0
56.56,0
56.66,0
56.76,0
56.86,0
56.96,0
57.06,0
57.16,0
57.26,0
57.36,0
57.46,0
57.56,0
57.66,0
57.76,0
57.86,0
57.96,0
58.06,0
58.16,0
58.26,0
58.36,0
58.46,0
58.56,0
58.66,0
58.76,0
58.86,0
58.96,0
59.06,0
59.16,0
59.26,0
59.36,0
59.46,0
59.56,0
59.66,0
59.76,0
59.86,0
59.96,0
60.06,0
60.16,0
60.26,0
60.36,0
60.46,0
60.56,0
60.66,0
60.76,0
60.86,0
60.96,0
61.06,0
61.16,0
61.26,0
61.36,0
61.46,0
61.56,0
61.66,0
61.76,0
61.86,0
61.96,0
62.06,0
62.16,0
62.26,0
62.36,0
62.46,0
62.56,0
62.66,0
62.76,0
62.86,0
62.96,0
63.06,0
63.16,0
63.26,0
63.36,0
63.46,0
63.56,0
63.66,0
63.76,0
63.86,0
63.96,0
64.06,0
64.16,0
64.26,0
64.36,0
64.46,0
64.56,0
64.66,0
64.76,0
64.86,0
64.96,0
65.07,0
65.17,0
65.27,0
65.37,0
65.47,0
65.57,0
65.67,0
65.77,0
65.87,0
65.97,0
66.07,0
66.17,0
66.27,0
66.37,0
66.47,0
66.57,0
66.67,0
66.77,0
66.87,0
66.97,0
67.07,0
67.17,0
67.27,0
67.37,0
67.47,0
67.57,0
67.67,0
67.77,0
67.87,0
67.97,0
68.07,0
68.17,0
68.27,0
68.37,0
68.47,0
68.57,0
68.67,0
68.77,0
68.87,0
68.97,0
69.07,0
69.17,0
69.27,0
69.37,0
69.47,0
69.57,0
69.67,0
69.77,0
69.87,0
69.97,0
70.07,0
70.17,0
70.27,0
70.37,0
70.47,0
70.57,0
70.67,0
70.77,0
70.87,0
70.97,0
71.07,0
71.17,0
71.27,0
71.37,0
71.47,0
71.57,0
71.67,0
71.77,0
71.87,0
71.97,0
72.07,0
72.17,0
72.27,0
72.37,0
72.47,0
72.57,0
72.67,0
72.77,0
72.87,0
72.97,0
73.07,0
73.17,0
73.27,0
73.37,0
73.47,0
73.57,0
73.67,0
73.77,0
73.87,0
73.97,0
74.07,0
74.17,0
74.27,0
74.37,0
74.47,0
74.57,0
74.67,0
74.77,0
74.87,0
74.97,0
75.08,0
75.18,0
75.28,0
75.38,0
75.48,0
75.58,0
75.68,0
75.78,0
75.88,0
75.98,0
76.08,0
76.18,0
76.28,0
76.38,0
76.48,0
76.58,0
76.68,0
76.78,0
76.88,0
76.98,0
77.08,0
77.18,0
77.28,0
77.38,0
77.48,0
77.58,0
77.68,0
77.78,0
77.88,0
77.98,0
78.08,0
78.18,0
78.28,0
78.38,0
78.48,0
78.58,0
78.68,0
78.78,0
78.88,0
78.98,0
79.08,0
79.18,0
79.28,0
79.38,0
79.48,0
79.58,0
79.68,0
79.78,0
79.88,0
79.98,0
80.08,0
80.18,0
80.28,0
80.38,0
80.48,0
80.58,0
80.68,0
80.78,0
80.88,0
80.98,0
81.08,0
81.18,0
81.28,0
81.38,0
81.48,0
81.58,0
81.68,0
81.78,0
81.88,0
81.98,0
82.08,0
82.18,0
82.28,0
82.38,0
82.48,0
82.58,0
82.68,0
82.78,0
82.88,0
82.98,0
83.08,0
83.18,0
83.28,0
83.38,0
83.48,0
83.58,0
83.68,0
83.78,0
83.88,0
83.98,0
84.08,0
84.18,0
84.28,0
84.38,0
84.48,0
84.58,0
84.68,0
84.78,0
84.88,0
84.98,0
85.09,0
85.19,0
85.29,0
85.39,0
85.49,0
85.59,0
85.69,0
85.79,0
85.89,0
85.99,0
86.09,0
86.19,0
86.29,0
86.39,0
86.49,0
86.59,0
86.69,0
86.79,0
86.89,0
86.99,0
87.09,0
87.19,0
87.29,0
87.39,0
87.49,0
87.59,0
87.69,0
87.79,0
87.89,0
87.99,0
88.09,0
88.19,0
88.29,0
88.39,0
88.49,0
88.59,0
88.69,0
88.79,0
88.89,0
88.99,0
89.09,0
89.19,0
89.29,0
89.39,0
89.49,0
89.59,0
89.69,0
89.79,0
89.89,0
89.99,0
90.09,0
90.19,0
90.29,0
90.39,0
90.49,0
90.59,0
90.69,0
90.79,0
90.89,0
90.99,0
91.09,0
91.19,0
91.29,0
91.39,0
91.49,0
91.59,0
91.69,0
91.79,0
91.89,0
91.99,0
92.09,0
92.19,0
92.29,0
92.39,0
92.49,0
92.59,0
92.69,0
92.79,0
92.89,0
92.99,0
93.09,0
93.19,0
93.29,0
93.39,0
93.49,0
93.59,0
93.69,0
93.79,0
93.89,0
93.99,0
94.09,0
94.19,0
94.29,0
94.39,0
94.49,0
94.59,0
94.69,0
94.79,0
94.89,0
94.99,0
95.10,0
95.20,0
95.30,0
95.40,0
95.50,0
95.60,0
95.70,0
95.80,0
95.90,0
96.00,0
96.10,0
96.20,0
96.30,0
96.40,0
96.50,0
96.60,0
96.70,0
96.80,0
96.90,0
97.00,0
97.10,0
97.20,0
97.30,0
97.40,0
97.50,0
97.60,0
97.70,0
97.80,0
97.90,0
98.00,0
98.10,0
98.20,0
98.30,0
98.40,0
98.50,0
98.60,0
98.70,0
98.80,0
98.90,0
99.00,0
99.10,0
99.20,0
99.30,0
99.40,0
99.50,0
99.60,0
99.70,0
99.80,0
99.90,0
100.00,0
